大膽,ㄉㄚˋ ㄉㄢˇ,brazen / audacious / outrageous / bold / daring / fearless,
大地,ㄉㄚˋ ㄉㄧˋ,earth / mother earth,
大都,ㄉㄚˋ ㄉㄡ,for the most part / on the whole / metropolitan,
大哥,ㄉㄚˋ ㄍㄜ,eldest brother / big brother (polite address for a man of about the same age as oneself) / gang leader / boss,
大哥大,ㄉㄚˋ ㄍㄜ ㄉㄚˋ,"cell phone (bulky, early-model one) / brick phone / mob boss",
大街,ㄉㄚˋ ㄐㄧㄝ,street / main street,條
大力,ㄉㄚˋ ㄌㄧˋ,energetically / vigorously,
大量,ㄉㄚˋ ㄌㄧㄤˋ,great amount / large quantity / bulk / numerous / generous / magnanimous,
大腦,ㄉㄚˋ ㄋㄠˇ,brain / cerebrum,
大清早,ㄉㄚˋ ㄑㄧㄥ ㄗㄠˇ,early in the morning,
大嫂,ㄉㄚˋ ㄙㄠˇ,older brother's wife / sister-in-law / elder sister (respectful appellation for an older married woman),
大腿,ㄉㄚˋ ㄊㄨㄟˇ,thigh,
大型,ㄉㄚˋ ㄒㄧㄥˊ,large / large-scale,
大意,ㄉㄚˋ ㄧˋ,careless,
大有,ㄉㄚˋ ㄧㄡˇ,there is much / (literary) abundance,
大致,ㄉㄚˋ ㄓˋ,more or less / roughly / approximately,
大眾,ㄉㄚˋ ㄓㄨㄥˋ,"the masses / the great bulk of the population / popular (of music, science etc)",
大自然,ㄉㄚˋ ㄗˋ ㄖㄢˊ,nature (the natural world),
待會,ㄉㄞ ㄏㄨㄟˋ,in a moment / later / also pr. [dai1 hui3 r5] or [dai1 hui5 r5],
待會兒,ㄉㄞ ㄏㄨㄟˋ ㄦ,in a moment / later / also pr. [dai1 hui3 r5] or [dai1 hui5 r5],
待,ㄉㄞˋ,to wait / to treat / to deal with / to need / going to (do sth) / about to / intending to,
代,ㄉㄞˋ,to substitute / to act on behalf of others / to replace / generation / dynasty / age / period / (historical) era / (geological) eon,
代,ㄉㄞˋ,to substitute / to act on behalf of others / to replace / generation / dynasty / age / period / (historical) era / (geological) eon,
代表,ㄉㄞˋ ㄅㄧㄠˇ,representative / delegate / to represent / to stand for / on behalf of / in the name of,位 / 個 / 名
代溝,ㄉㄞˋ ㄍㄡ,generation gap,
代價,ㄉㄞˋ ㄐㄧㄚˋ,price / cost / consideration (in share dealing),
代理,ㄉㄞˋ ㄌㄧˇ,to act on behalf of sb in a responsible position / to act as an agent or proxy / surrogate / (computing) proxy,
帶動,ㄉㄞˋ ㄉㄨㄥˋ,to spur / to provide impetus / to drive,
帶路,ㄉㄞˋ ㄌㄨˋ,to lead the way / to guide / to show the way / fig. to instruct,
帶子,ㄉㄞˋ ㄗ˙,belt / band / ribbon / strap / girdle / (coll.) audio or video tape / Farrer's scallop (Chlamys farreri) / comb pen shell (Atrina pectinata),
大夫,ㄉㄞˋ ㄈㄨ˙,doctor / physician,
貸款,ㄉㄞˋ ㄎㄨㄢˇ,a loan / to provide a loan (e.g. bank) / to raise a loan (from e.g. a bank),筆
貸款,ㄉㄞˋ ㄎㄨㄢˇ,a loan / to provide a loan (e.g. bank) / to raise a loan (from e.g. a bank),筆
待遇,ㄉㄞˋ ㄩˋ,treatment / pay / salary / status / rank,
單,ㄉㄢ,bill / list / form / single / only / sole / odd number,個
單調,ㄉㄢ ㄉㄧㄠˋ,monotonous,
單位,ㄉㄢ ㄨㄟˋ,"unit (of measure) / unit (group of people as a whole) / work unit (place of employment, esp. in the PRC prior to economic reform)",個
單子,ㄉㄢ ㄗ˙,list of items / bill / form / bedsheet,
擔保,ㄉㄢ ㄅㄠˇ,to guarantee / to vouch for,
耽誤,ㄉㄢ ㄨˋ,to delay / to hold up / to waste time / to interfere with,
膽量,ㄉㄢˇ ㄌㄧㄤˋ,courage / boldness / guts,
膽小,ㄉㄢˇ ㄒㄧㄠˇ,cowardice / timid,
蛋白質,ㄉㄢˋ ㄅㄞˊ ㄓˊ,protein,
誕生,ㄉㄢˋ ㄕㄥ,to be born,
當初,ㄉㄤ ㄔㄨ,at that time / originally,
當時,ㄉㄤ ㄕˊ,at once / right away,
當選,ㄉㄤ ㄒㄩㄢˇ,to be elected / to be selected,
當中,ㄉㄤ ㄓㄨㄥ,among / in the middle / in the center,
擋,ㄉㄤˇ,to arrange / to put in order,
檔案,ㄉㄤˇ ㄢˋ,file / record / archive,
當,ㄉㄤˋ,at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student),
倒楣,ㄉㄠˇ ㄇㄟˊ,variant of 倒霉[dao3 mei2],
導演,ㄉㄠˇ ㄧㄢˇ,to direct / director (film etc),
導遊,ㄉㄠˇ ㄧㄡˊ,tour guide / guidebook / to conduct a tour,
倒,ㄉㄠˋ,to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation,
道,ㄉㄠˋ,"road / path / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) circuit (administrative division)",條 / 股
道路,ㄉㄠˋ ㄌㄨˋ,road / path / way,條
到達,ㄉㄠˋ ㄉㄚˊ,to reach / to arrive,
得分,ㄉㄜˊ ㄈㄣ,to score,
得獎,ㄉㄜˊ ㄐㄧㄤˇ,to win a prize,
得了,ㄉㄜˊ ㄌㄜ˙,"(emphatically, in rhetorical questions) possible",
得罪,ㄉㄜˊ ㄗㄨㄟˋ,to offend sb / to make a faux pas / a faux pas / see also 得罪[de2 zui4],
登,ㄉㄥ,to scale (a height) / to ascend / to mount / to publish or record / to enter (e.g. in a register) / to press down with the foot / to step or tread on / to put on (shoes or trousers) (dialect) / to be gathered and taken to the threshing ground (old),
登記,ㄉㄥ ㄐㄧˋ,to register (one's name),
登山,ㄉㄥ ㄕㄢ,to climb a mountain / climbing / mountaineering,
等不及,ㄉㄥˇ ㄅㄨˋ ㄐㄧˊ,can't wait,
等到,ㄉㄥˇ ㄉㄠˋ,to wait until / by the time when (sth is ready etc),
等級,ㄉㄥˇ ㄐㄧˊ,grade / rank / status,
等於,ㄉㄥˇ ㄩˊ,to equal / to be tantamount to,
凳子,ㄉㄥˋ ㄗ˙,stool / small seat,
滴,ㄉㄧ,a drop / to drip,
低潮,ㄉㄧ ㄔㄠˊ,low tide / low ebb,
的確,ㄉㄧˊ ㄑㄩㄝˋ,really / indeed,
抵,ㄉㄧˇ,to press against / to support / to prop up / to resist / to equal / to balance / to make up for / to mortgage / to arrive at / to clap (one's hands) lightly (expressing delight) (Taiwan pr. [zhi3] for this sense),
抵抗,ㄉㄧˇ ㄎㄤˋ,to resist / resistance,
遞,ㄉㄧˋ,to hand over / to pass on sth / to gradually increase or decrease / progressively,
地面,ㄉㄧˋ ㄇㄧㄢˋ,floor / ground / surface,
地毯,ㄉㄧˋ ㄊㄢˇ,carpet / rug,
地下,ㄉㄧˋ ㄒㄧㄚˋ,underground / subterranean / covert,
地震,ㄉㄧˋ ㄓㄣˋ,earthquake,
典禮,ㄉㄧㄢˇ ㄌㄧˇ,celebration / ceremony,
典型,ㄉㄧㄢˇ ㄒㄧㄥˊ,model / typical case / archetype / typical / representative,
點燃,ㄉㄧㄢˇ ㄖㄢˊ,to ignite / to set on fire / aflame,
點頭,ㄉㄧㄢˇ ㄊㄡˊ,to nod,
墊,ㄉㄧㄢˋ,pad / cushion / mat / to pad out / to fill a gap / to pay for sb / to advance (money),
電報,ㄉㄧㄢˋ ㄅㄠˋ,telegram / cable / telegraph,封 / 份
電動,ㄉㄧㄢˋ ㄉㄨㄥˋ,electric-powered / (Tw) video game,
電扇,ㄉㄧㄢˋ ㄕㄢˋ,electric fan,
電視台,ㄉㄧㄢˋ ㄕˋ ㄊㄞˊ,TV network,
電台,ㄉㄧㄢˋ ㄊㄞˊ,"broadcasting station, radio station",
電線,ㄉㄧㄢˋ ㄒㄧㄢˋ,wire / power cord,根
電子,ㄉㄧㄢˋ ㄗˇ,electronic / electron (particle physics),
雕刻,ㄉㄧㄠ ㄎㄜˋ,to carve / to engrave / carving,
雕刻,ㄉㄧㄠ ㄎㄜˋ,to carve / to engrave / carving,
吊,ㄉㄧㄠˋ,to suspend / to hang up / to hang a person,
釣,ㄉㄧㄠˋ,to fish with a hook and bait,
跌,ㄉㄧㄝˊ,to fall / to tumble / to trip / (of prices etc) to drop / Taiwan pr. [die2],
跌倒,ㄉㄧㄝˊ ㄉㄠˇ,to tumble / to fall / fig. to suffer a reverse (in politics or business),
丁,ㄉㄧㄥ,"fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / fourth in order / letter ""D"" or Roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 195° / butyl / cubes (of food)",
盯,ㄉㄧㄥ,to watch attentively / to fix one's attention on / to stare at / to gaze at,
頂,ㄉㄧㄥˇ,"apex / crown of the head / top / roof / most / to carry on the head / to push to the top / to go against / to replace / to substitute / to be subjected to (an aerial bombing, hailstorm etc) / (slang) to ""bump"" a forum thread to raise its profile / classifier for headwear, hats, veils etc",
訂婚,ㄉㄧㄥˋ ㄏㄨㄣ,to get engaged,
訂位,ㄉㄧㄥˋ ㄨㄟˋ,to reserve a seat / to book a table / reservation,
定期,ㄉㄧㄥˋ ㄑㄧˊ,at set dates / at regular intervals / periodic / limited to a fixed period of time / fixed term,
定期,ㄉㄧㄥˋ ㄑㄧˊ,at set dates / at regular intervals / periodic / limited to a fixed period of time / fixed term,
丟臉,ㄉㄧㄡ ㄌㄧㄢˇ,to lose face / humiliation,
丟人,ㄉㄧㄡ ㄖㄣˊ,to lose face,
冬季,ㄉㄨㄥ ㄐㄧˋ,winter,
懂得,ㄉㄨㄥˇ ㄉㄜ˙,to understand / to know / to comprehend,
洞,ㄉㄨㄥˋ,cave / hole / zero (unambiguous spoken form when spelling out numbers),個
凍,ㄉㄨㄥˋ,to freeze / to feel very cold / aspic or jelly,
棟,ㄉㄨㄥˋ,classifier for houses or buildings / ridgepole (old),
動不動,ㄉㄨㄥˋ ㄅㄨˋ ㄉㄨㄥˋ,"(typically followed by 就[jiu4]) apt to (lose one's temper, catch a cold etc) / at the drop of a hat",
動詞,ㄉㄨㄥˋ ㄘˊ,verb,
動人,ㄉㄨㄥˋ ㄖㄣˊ,touching / moving,
動身,ㄉㄨㄥˋ ㄕㄣ,to go on a journey / to leave,
動手,ㄉㄨㄥˋ ㄕㄡˇ,to set about (a task) / to hit / to punch / to touch,
動作,ㄉㄨㄥˋ ㄗㄨㄛˋ,movement / motion / action,個
鬥爭,ㄉㄡˋ ㄓㄥ,a struggle / fight / battle,
毒,ㄉㄨˊ,poison / to poison / poisonous / malicious / cruel / fierce / narcotics,
毒,ㄉㄨˊ,poison / to poison / poisonous / malicious / cruel / fierce / narcotics,
獨立,ㄉㄨˊ ㄌㄧˋ,independent / independence / to stand alone,
獨自,ㄉㄨˊ ㄗˋ,alone,
賭,ㄉㄨˇ,to bet / to gamble,
度,ㄉㄨˋ,to estimate / Taiwan pr. [duo4],
度過,ㄉㄨˋ ㄍㄨㄛˋ,to pass / to spend (time) / to survive / to get through,
端,ㄉㄨㄢ,end / extremity / item / port / to hold sth level with both hands / to carry / regular,
斷,ㄉㄨㄢˋ,to break / to snap / to cut off / to give up or abstain from sth / to judge / (usu. used in the negative) absolutely / definitely / decidedly,
鍛鍊,ㄉㄨㄢˋ ㄌㄧㄢˋ,to toughen / to temper / to engage in physical exercise / to work out / (fig.) to develop one's skills / to train oneself,
堆,ㄉㄨㄟ,to pile up / to heap up / a mass / pile / heap / stack / large amount,
隊,ㄉㄨㄟˋ,squadron / team / group,個
隊員,ㄉㄨㄟˋ ㄩㄢˊ,team member,
對岸,ㄉㄨㄟˋ ㄢˋ,opposite bank (of a body of water),
對策,ㄉㄨㄟˋ ㄘㄜˋ,countermeasure for dealing with a situation,
對待,ㄉㄨㄟˋ ㄉㄞˋ,to treat / treatment,
對付,ㄉㄨㄟˋ ㄈㄨˋ,to handle / to deal with / to cope / to get by with,
對抗,ㄉㄨㄟˋ ㄎㄤˋ,to withstand / to resist / to stand off / antagonism / confrontation,
對立,ㄉㄨㄟˋ ㄌㄧˋ,to oppose / to set sth against / to be antagonistic to / antithetical / relative opposite / opposing / diametrical,
對於,ㄉㄨㄟˋ ㄩˊ,regarding / as far as sth is concerned / with regards to,
蹲,ㄉㄨㄣ,to crouch / to squat / to stay (somewhere),
頓,ㄉㄨㄣˋ,"to stop / to pause / to arrange / to lay out / to kowtow / to stamp (one's foot) / at once / classifier for meals, beatings, scoldings etc: time, bout, spell, meal",
噸,ㄉㄨㄣˋ,ton (loanword) / Taiwan pr. [dun4],
多半,ㄉㄨㄛ ㄅㄢˋ,most / mostly / most likely,
多半兒,ㄉㄨㄛ ㄅㄢˋ ㄦ,most / mostly / most likely,
多多,ㄉㄨㄛ ㄉㄨㄛ,many / much / a lot / lots and lots / more / even more,
多少,ㄉㄨㄛ ㄕㄠˇ,"how much? / how many? / (phone number, student ID etc) what number?",
多數,ㄉㄨㄛ ㄕㄨˋ,majority / most,
多謝,ㄉㄨㄛ ㄒㄧㄝˋ,many thanks / thanks a lot,
奪,ㄉㄨㄛˊ,to seize / to take away forcibly / to wrest control of / to compete or strive for / to force one's way through / to leave out / to lose,
躲,ㄉㄨㄛˇ,to hide / to dodge / to avoid,
鵝,ㄜˊ,goose,隻
惡劣,ㄜˋ ㄌㄧㄝˋ,vile / nasty / of very poor quality,
而已,ㄦˊ ㄧˇ,that's all / nothing more,
發,ㄈㄚ,to send out / to show (one's feeling) / to issue / to develop / to make a bundle of money / classifier for gunshots (rounds),
發動,ㄈㄚ ㄉㄨㄥˋ,to start / to launch / to unleash / to mobilize / to arouse,
發抖,ㄈㄚ ㄉㄡˇ,to tremble / to shake / to shiver,
發起,ㄈㄚ ㄑㄧˇ,"to originate / to initiate / to launch (an attack, an initiative etc) / to start / to propose sth (for the first time)",
發射,ㄈㄚ ㄕㄜˋ,to shoot (a projectile) / to fire (a rocket) / to launch / to emit (a particle) / to discharge / emanation / emission,
發行,ㄈㄚ ㄒㄧㄥˊ,"to publish / to issue (stocks, currency etc) / to release / to distribute (a film)",
發言,ㄈㄚ ㄧㄢˊ,to make a speech / statement / utterance,個
發揚,ㄈㄚ ㄧㄤˊ,to develop / to make full use of,
發音,ㄈㄚ ㄧㄣ,to pronounce / pronunciation / to emit sound,
發展,ㄈㄚ ㄓㄢˇ,development / growth / to develop / to grow / to expand,
罰,ㄈㄚˊ,to punish / to penalize,
法子,ㄈㄚˊ ㄗ˙,way / method / Taiwan pr. [fa2 zi5],
法院,ㄈㄚˇ ㄩㄢˋ,court of law / court,
髮型,ㄈㄚˇ ㄒㄧㄥˊ,hairstyle / coiffure / hairdo,
番,ㄈㄢ,"foreign (non-Chinese) / barbarian / classifier for occurrences (of an event, action or speech utterance) / classifier for iterations: times, -fold (as in twofold etc) / classifier for situations: kind, sort",
翻,ㄈㄢ,to turn over / to flip over / to overturn / to rummage through / to translate / to decode / to double / to climb over or into / to cross,
煩,ㄈㄢˊ,to feel vexed / to bother / to trouble / superfluous and confusing / edgy,
煩惱,ㄈㄢˊ ㄋㄠˇ,to be worried / to be distressed / worries,
繁忙,ㄈㄢˊ ㄇㄤˊ,busy / bustling,
繁榮,ㄈㄢˊ ㄖㄨㄥˊ,prosperous / booming (economy),
繁殖,ㄈㄢˊ ㄓˊ,to breed / to reproduce / to propagate,
反,ㄈㄢˇ,contrary / in reverse / inside out or upside down / to reverse / to return / to oppose / opposite / against / anti- / to rebel / to use analogy / instead / abbr. for 反切[fan3 qie4] phonetic system,
反,ㄈㄢˇ,contrary / in reverse / inside out or upside down / to reverse / to return / to oppose / opposite / against / anti- / to rebel / to use analogy / instead / abbr. for 反切[fan3 qie4] phonetic system,
反對,ㄈㄢˇ ㄉㄨㄟˋ,to fight against / to oppose / to be opposed to / opposition,
反覆,ㄈㄢˇ ㄈㄨˋ,repeatedly / over and over / to upend / unstable / to come and go / (of an illness) to return,
反抗,ㄈㄢˇ ㄎㄤˋ,to resist / to rebel,
反面,ㄈㄢˇ ㄇㄧㄢˋ,reverse side / backside / the other side (of a problem etc) / negative / bad,
反問,ㄈㄢˇ ㄨㄣˋ,to ask (a question) in reply / to answer a question with a question / rhetorical question,
反映,ㄈㄢˇ ㄧㄥˋ,to mirror / to reflect / mirror image / reflection / (fig.) to report / to make known / to render,
反應,ㄈㄢˇ ㄧㄥˋ,to react / to respond / reaction / response / reply / chemical reaction,個
反正,ㄈㄢˇ ㄓㄥˋ,anyway / in any case / to come over from the enemy's side,
返回,ㄈㄢˇ ㄏㄨㄟˊ,to return to / to come (or go) back,
犯錯,ㄈㄢˋ ㄘㄨㄛˋ,to err / to make a mistake / to do the wrong thing,
犯法,ㄈㄢˋ ㄈㄚˇ,to break the law,
犯人,ㄈㄢˋ ㄖㄣˊ,convict / prisoner / criminal,
犯罪,ㄈㄢˋ ㄗㄨㄟˋ,to commit a crime / crime / offense,
方,ㄈㄤ,"square / power or involution (math.) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter",
方案,ㄈㄤ ㄢˋ,plan / program (for action etc) / proposal / proposed bill,個 / 套
防,ㄈㄤˊ,to protect / to defend / to guard against / to prevent,
防守,ㄈㄤˊ ㄕㄡˇ,to defend / to protect (against),
防止,ㄈㄤˊ ㄓˇ,to prevent / to guard against / to take precautions,
放大,ㄈㄤˋ ㄉㄚˋ,to enlarge / to magnify,
放棄,ㄈㄤˋ ㄑㄧˋ,to renounce / to abandon / to give up,
放手,ㄈㄤˋ ㄕㄡˇ,to let go one's hold / to give up / to have a free hand,
放學,ㄈㄤˋ ㄒㄩㄝˊ,to dismiss students at the end of the school day,
非法,ㄈㄟ ㄈㄚˇ,illegal,
肥,ㄈㄟˊ,fat / fertile / loose-fitting or large / to fertilize / to become rich by illegal means / fertilizer / manure,
肥胖,ㄈㄟˊ ㄆㄤˋ,fat / obese,
肥皂,ㄈㄟˊ ㄗㄠˋ,soap,塊 / 條
肺,ㄈㄟˋ,lung,個
費,ㄈㄟˋ,to cost / to spend / fee / wasteful / expenses,
廢話,ㄈㄟˋ ㄏㄨㄚˋ,nonsense / rubbish / superfluous words / You don't say! / No kidding! (gently sarcastic),
廢氣,ㄈㄟˋ ㄑㄧˋ,exhaust gas / industrial waste gas / steam,
廢水,ㄈㄟˋ ㄕㄨㄟˇ,waste water / drain water / effluent,
廢物,ㄈㄟˋ ㄨˋ,rubbish / waste material / useless person,
分別,ㄈㄣ ㄅㄧㄝˊ,to part or leave each other / to distinguish / difference / in different ways / differently / separately or individually,
分別,ㄈㄣ ㄅㄧㄝˊ,to part or leave each other / to distinguish / difference / in different ways / differently / separately or individually,
分別,ㄈㄣ ㄅㄧㄝˊ,to part or leave each other / to distinguish / difference / in different ways / differently / separately or individually,
分布,ㄈㄣ ㄅㄨˋ,"to scatter / to distribute / to be distributed (over an area etc) / (statistical, geographic) distribution",
分佈,ㄈㄣ ㄅㄨˋ,"to scatter / to distribute / to be distributed (over an area etc) / (statistical, geographic) distribution",
分工,ㄈㄣ ㄍㄨㄥ,to divide up the work / division of labor,
分明,ㄈㄣ ㄇㄧㄥˊ,clear / distinct / evidently / clearly,
分配,ㄈㄣ ㄆㄟˋ,to distribute / to assign / to allocate / to partition (a hard drive),
分散,ㄈㄣ ㄙㄢˋ,to scatter / to disperse / to distribute,
分手,ㄈㄣ ㄕㄡˇ,to part company / to split up / to break up,
分數,ㄈㄣ ㄕㄨˋ,(exam) grade / mark / score / fraction,
分析,ㄈㄣ ㄒㄧ,to analyze / analysis,個
分析,ㄈㄣ ㄒㄧ,to analyze / analysis,個
紛紛,ㄈㄣ ㄈㄣ,one after another / in succession / one by one / continuously / diverse / in profusion / numerous and confused / pell-mell,
吩咐,ㄈㄣ ㄈㄨˋ,to tell / to instruct / to command,
粉筆,ㄈㄣˇ ㄅㄧˇ,chalk,支 / 段
份,ㄈㄣˋ,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc / variant of 分[fen4]",
份兒,ㄈㄣˋ ㄦ,degree / extent / allotted share,
奮鬥,ㄈㄣˋ ㄉㄡˋ,to strive / to struggle,
憤怒,ㄈㄣˋ ㄋㄨˋ,angry / indignant / wrath / ire,
封,ㄈㄥ,"to confer / to grant / to bestow a title / to seal / classifier for sealed objects, esp. letters",
封建,ㄈㄥ ㄐㄧㄢˋ,system of enfeoffment / feudalism / feudal / feudalistic,
蜂蜜,ㄈㄥ ㄇㄧˋ,honey,
風氣,ㄈㄥ ㄑㄧˋ,general mood / atmosphere / common practice,
風趣,ㄈㄥ ㄑㄩˋ,charm / humor / wit / humorous / witty,
風險,ㄈㄥ ㄒㄧㄢˇ,risk / hazard,
瘋,ㄈㄥ,insane / mad / wild,
瘋狂,ㄈㄥ ㄎㄨㄤˊ,crazy / frantic / extreme popularity,
瘋子,ㄈㄥ ㄗ˙,madman / lunatic,
逢,ㄈㄥˊ,to meet by chance / to come across / (of a calendar event) to come along / (of an event) to fall on (a particular day) / to fawn upon,
縫,ㄈㄥˊ,seam / crack / narrow slit,道
諷刺,ㄈㄥˋ ㄘˋ,to satirize / to mock / irony / satire / sarcasm,
否定,ㄈㄡˇ ㄉㄧㄥˋ,to negate / to deny / to reject / negative (answer) / negation,
